Date;Map Thumb;Northern Areas;Southern Areas;Wind Speed;Wind Direction;Avalanche Activity;Notes
Sunday 4/30/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";5-15 G25;W-NW;recent natural wet avalanche north of Cooke City;
Saturday 4/29/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";10-20 G30;W;Recent Wet Avalanches in the T-Roots;
Friday 4/28/23;NA;"0.1/1"" Bridger
0.5/5"" Shower
0.1/1"" Lone";"0.4/3"" Carrot
0.3/2"" Madison
0.0/0"" Wt Elephant
0.4/4"" Fisher";10-20 G50;W-NW;"Wind slabs up high in Beehive;Several large wet slides in north bowl";
Thursday 4/27/23;NA;"0.0/0"" Alpine
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";15-25 G55;W;;"SNOTEL is not reporting. 0"" precip based on operational weather stations and forecast"
Wednesday 4/26/23;NA;"0.0/0"" Alpine
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";10-20 G15-30;SW-W-NW;;
Tuesday 4/25/23;NA;"0.4/4"" Alpine
0.2/2"" Shower
0.3/3"" Lone";"0.0/0"" Carrot
0.5/4"" Madison
0.3/3"" Wt Elephant
0.5/5"" Fisher";5-10 G15-25;SW-S-E-N-NW-W;"Wet snow avalanches at Bridger;Large Wet Slides at Bridger";
Monday 4/24/23;NA;"0.0/0"" Alpine
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";5-20 G20-30;SW-W;;
Sunday 4/23/23;NA;"0.0/0"" Alpine
0.0/0"" Shower
0.1/1"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";5-20 G25-35;SW-NW;;
Saturday 4/22/23;NA;"0.3/4"" Alpine
0.2/2"" Shower
0.4/9"" Lookout";"0.5/7"" Carrot
0.2/2"" Madison
0.2/2"" Wt Elephant
0.1/2"" Fisher";5-15 G15-25;"W-NW
E-W Bridgers";Skier caught and carried above North Bowl at Bridger;
Friday 4/21/23;NA;"0.2/3"" Alpine
0.5/5"" Shower
0.3/3"" Lone";"0.0/0"" Carrot
0.2/2"" Madison
0.2/2"" Wt Elephant
0.1/1"" Fisher";5-15 G20-40;W-SW;;
Thursday 4/20/23;NA;"1.7/24"" Alpine
0.5/5"" Shower
0.4/5"" Lone";"0.1/1"" Carrot
0.1/1"" Madison
0.0/0"" Sawtelle
0.1/1"" Fisher";5-15 G15-30;NW-SW;;
Wednesday 4/19/23;NA;"0.8/10"" Alpine
0.4/7"" Shower
0.3/5"" Lookout";"0.5/5"" Carrot
0.4/6"" Madison
0.3/6"" Wt Elephant
0.2/3"" Fisher";10-20 G25-50;SW-NW;"Many avalanches of new snow at Bridger;New snow avalanches at Bridger";SWE/snow totals @0600
Tuesday 4/18/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.2/3"" Carrot
0.2/2"" Madison
0.2/2"" Sawtelle
0.1/2"" Fisher";"5-20 G 20-50
G72 Big Sky";SW-W;;
Monday 4/17/23;NA;"0.0/0"" Alpine
0.0/0"" Shower
0.0/0"" Bavaria";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";10-20 G50;W-SW;;
Sunday 4/16/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lobo";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Wt Elephant
0.0/0"" Fisher";5-15 G25;W-SW;Wet Snow Avalanche on The Fin;
Saturday 4/15/23;NA;"0.2/2"" Brackett
0.2/2"" Shower
0.2/2"" Lone";"0.1/1"" Carrot
0.0/0"" Madison
0.0/0"" Wt Elephant
0.0/0"" Fisher";5-15 G25;SW-NW;Dry loose avalanche in Crazies;
Friday 4/14/23;NA;"1.1/12"" Alpine
0.7/10"" Shower
0.4/4"" Lookout";"0.2/2"" Carrot
0.2/3"" Madison
0.3/4"" Sawtelle
0.4/4"" Fisher";10-15 G25-45;SW-W-NE;;
Thursday 4/13/23;NA;"0.1/1"" Brackett
0.1/2"" Shower
0.2/2"" Lone";"0.3/3"" Carrot
0.4/4"" Madison
0.6/6"" Sawtelle
0.5/5"" Fisher";15-25 G35-50;SE-SW;storm slabs at Bridger;SWE/Snow @0600
Wednesday 4/12/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";"15-30 G40-70
G90 Big Sky";S-SW;;
Tuesday 4/11/23;NA;"0.0/0"" Alpine
0.0/0"" Shower
0.0/0"" Bavaria";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";10-30 G60;W-S;"wet snow avalanches on road in YNP;Wet Slide off Bridger Ridge near Baldy;Natural wet slides on Saddle Peak and Bridger;Natural full depth wet slides in closed terrain at Big Sky;Natural wet slide, Close Call/slushman ravine;Wet slide action in Beehive";2nd Night w/o freezing temperatures
Monday 4/10/23;NA;"0.0/0"" Alpine
0.0/0"" Shower
0.0/0"" Lobo";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Wt Elephant
0.0/0"" Fisher";10-15 G35;W-SW;"Cornice Fall, North Madison Range;Wet Snow Avalanches between Idaho and Livingston;Many Full Depth Wet Loose Avalanches at Big Sky;Cornice Fall and wet loose avalanches;Wet Loose Snow Avalanches in the Bridger Range;Natural Wet Snow Avalanches, Fan Mountain;wet snow avalanches near Cooke;Natural wet slides in Bridger Range;Full depth wet snow avalanche near Pioneer Mountain";
Sunday 4/9/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.1/1"" Fisher";15-20 G30-40;W-SW;"Wet Snow Avalanches Near Pioneer Mountain ;Skier Triggered Avalanche, Lone Lake Cirque;Deep Slab Avalanche Sphinx";
Saturday 4/8/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";15 G30-55;SW-S;Wet slide over highway at quake lake;
Friday 4/7/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";10-15 G25-30;SW-W;Wet loose and slab avalanches North of Cooke;
Thursday 4/6/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.2/2"" Lookout";"0.1/1"" Carrot
0.0/0"" Madison
0.0/0"" Wt Elephant
0.1/1"" Fisher";10-20 G30;W-SW;"Natural Avalanche in Bridgers;Skier triggered wind slab near Cooke;Natural wind slab near Cooke;Snowmobile triggered wind slab Storm Castle;Deep Slab Activity on Jumbo Mountain";
Wednesday 4/5/23;NA;"0.2/8"" Alpine
0.1/2"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";10-15 G20;W-NW;"Skier remote trigger in Wolverine Bowl;Deep Slab S Fork Hellroaring";
Tuesday 4/4/23;NA;"0.1/1"" Brackett
0.1/1"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.1/1"" Madison
0.2/3"" Wt Elephant
0.0/0"" Fisher";"5-10 G30
Bridger 30-40 G75";NW-NE;;
Monday 4/3/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.1/2"" Lobo";"0.1/1"" Carrot
0.1/1"" Madison
0.1/1"" Wt Elephant
0.2/2"" Fisher";5-15 G50;W-SW-S;Southern gallatin deep slab;
Sunday 4/2/23;NA;"0.2/3"" Bridger
0.3/3"" Shower
0.4/4"" Lone";"1.1/10"" Carrot
1.2/11"" Madison
1.4/8"" Sawtelle
1.0/11"" Fisher";15-30 G40-85;SW-W;"Avalanches Above Beaver Creek;Deep Slab Avalanche Seen From Taylor Fork;Natural Avalanche on Climax Path;Tobacco Roots Avalanche;Natural avalanche Naya Nuki ;Big Avalanche Crown, N. Absaroka Range;Recent Natural Avalanche near Cooke City;Large Whumpf in Beehive Basin;Remote Triggered Avalanche, Mineral Mountain;Deep Slab Avalanche, Bald Peak - Lionhead;Natural Avalanche Cycle at Lionhead;Large avalanche in Taylor-Hilgard;Deep Slab Avalanche on Mt. Abundance";
Saturday 4/1/23;NA;"0.1/1"" Brackett
0.1/1"" Shower
0.1/1"" Timber";"0.3/4"" Carrot
0.3/3"" Madison
0.4/4"" Sawtelle
0.3/4"" Fisher";15-30 G30-55;SW-W;"Large natural above Ainger Lake;Natural Avalanches near Battle Ridge;Human-triggered avalanche, Frazier basin ;Natural slides on all aspects of Nemesis Mountain";
Friday 3/31/23;NA;"0.2/2"" Alpine
0.3/3"" Shower
0.0/0"" Timber";"0.1/1"" Carrot
0.0/0"" Madison
0.1/1"" Sawtelle
0.1/1"" Fisher";10-20 G15-25;SW-W;"Remotely trigged small slide in Portal Creek ;Natural wind slab on Cedar Mountain";
Thursday 3/30/23;NA;"0.2/2"" Brackett
0.2/2"" Shower
0.2/3"" Timber";"0.3/3"" Carrot
0.3/3"" Madison
0.4/4"" Wt Elephant
0.2/2"" Fisher";10-15 G23;SE-SW;Skier triggered Deep Slab in Lone Lake Cirque;
Wednesday 3/29/23;NA;"0.1/1"" Brackett
0.2/2"" Shower
0.2/2"" Timber";"0.2/2"" Carrot
0.1/1"" Madison
0.1/1"" Wt Elephant
0.2/2"" Fisher";10-15 G25-30;SE-S-SW;Natural avalanche on Buck Ridge;
Tuesday 3/28/23;NA;"0.2/2"" Brackett
0.1/1"" Shower
0.1/1"" Lone";"0.1/1"" Carrot
0.2/2"" Madison
0.2/2"" Wt Elephant
0.0/0"" Fisher";10-15 G35;W-SW;Natural avalanches in Hyalite;
Monday 3/27/23;NA;"0.4/8"" Alpine
0.3/4"" Shower
0.4/5"" Timber";"0.5/5"" Carrot
0.1/1"" Madison
0.2/5"" Wt Elephant
0.2/2"" Fisher";"5-10 G15-20
10 G29 @BB,LH";NW-N-E;"Natural release Battle Ridge;Wyoming Bowl Avalanche, Remote Trigger;Large avalanche on Bridger Peak";
Sunday 3/26/23;NA;"0.8/14"" Alpine
0.6/6"" Shower
0.3/4"" Lone";"0.4/4"" Carrot
0.4/4"" Madison
0.4/4"" Wt Elephant
0.1/1"" Fisher";5-10 G15-20;NW-SW-SE;"New snow avalanches at Portal Crk;Recent avalanches on the Throne";
Saturday 3/25/23;NA;"0.4/6"" Alpine
0.9/12"" Shower
0.5/7"" Lobo";"0.2/4"" Carrot
0.4/7"" Madison
0.7/12"" Wt Elephant
0.2/3"" Fisher";10-20 G20-30;W-N;"Natural avalanche in Beehive Basin;Small skier triggered slide near Little Ellis, partial buried";
Friday 3/24/23;NA;"0.1/2"" Brackett
0.0/0"" Shower
0.2/3"" Timber";"0.0/0"" Carrot
0.1/1"" Madison
0.1/1"" Wt Elephant
0.1/1"" Fisher";15-20 G25-30;SW-W;;
Thursday 3/23/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";5-15 G35;NW-SW;Snowmobiler triggered, caught and injured, Daisy Pass;
Wednesday 3/22/23;NA;"0.1/1"" Brackett
0.1/1"" Shower
0.1/1"" Lookout";"0.1/1"" Carrot
0.1/1"" Madison
0.1/1"" Wt Elephant
0.1/1"" Fisher";5-10 G15;NE (NW Bridger);"Sluffing and wet slides on blackmore;Deep slab on Elephant Mtn.";
Tuesday 3/21/23;NA;"0.3/3"" Brackett
0.4/4"" Shower
0.3/3"" Lone";"0.2/4"" Carrot
0.4/4"" Madison
0.5/5"" Wt Elephant
0.5/7"" Fisher";"5-15 G35
20-25 G35 W. Yell.";E-SW;"New snow slide in divide basin;Small wind slabs on Woody Ridge;Natural on Lionhead Ridge";
Monday 3/20/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.1/1"" Madison
0.1/1"" Wt Elephant
0.0/0"" Fisher";5-20 G25-35;"SW
SE-Bridgers";New snow avalanches, Frazier Basin;
Sunday 3/19/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";"5-20 
G20-30";SW;"Natural Point release triggered a deep slab, Emigrant (outside fx area);Old deep slab in Spanish creek.;Wet slide in Lower Middle Cottonwood Canyon";
Saturday 3/18/23;NA;"0.0/0"" Alpine
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Wt Elephant
0.0/0"" Fisher";10-15 G15-20;S-W-NW;"Large snowmobile triggered slide on Henderson;Skier caught in Crazies (outside forecast area)";
Friday 3/17/23;NA;"0.0/0"" Bridger
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Wt Elephant
0.0/0"" Fisher";5-10 G15;W-N;;
Thursday 3/16/23;NA;"1.5/11"" Bridger
0.8/14"" Shower
0.8/11"" Timber";"0.6/6"" Carrot
0.6/6"" Black Bear
0.6/6"" Wt Elephant
0.6/6"" Fisher";10-15 G 25;W-NW;"Big avalanche on Mount Bole;Avalanche on Approach To Electric Pk ;Avalanche on Scotch Bonnet;Natural avalanche on Alex Lowe Pk";
Wednesday 3/15/23;NA;"0.5/2"" Brackett
0.3/2"" Shower
0.1/1"" Lookout";"1.2/12"" Carrot
1.1/11"" Madison
1.5/18"" Wt Elephant
0.9/10"" Fisher";25-30 G64 (10-30 Bridgers);SW;"Natural Avalanches Tepee Basin;Natural Avalanche Gallatin River near Bacon Rind;Many natural avalanches in Island Park;Natural avalanches in new snow around Cooke;Extensive Avalanche Cycle in LH;large natural avalanches north of Cooke;Hellroaring Creek Avalanche Cycle";AVALANCHE WARNING: S. Madison, S. Gallatin, Lionhead, Centennials, Cooke City
Tuesday 3/14/23;NA;"0.1/1"" Brackett
0.0/0"" Shower
0.3/3"" Lone";"0.6/6"" Carrot
0.5/5"" Madison
1.2/14"" Wt Elephant
0.6/6"" Fisher";15-40 G70;W-S;"Natural Avalanche Sunlight Basin;Natural Avalanche Sage Basin;Natural Avalanche, Head of Sage Creek;Hellroaring Creek Avalanche Cycle";AVALANCHE WARNING: CENTENNIAL MOUNTAINS
Monday 3/13/23;NA;"0.0/0"" Alpine
0.0/0"" Shower
0.0/0"" Timber";"0.1/1"" Carrot
0.1/1"" Madison
0.1/1"" Wt Elephant
0.0/0"" Fisher";10-15 G30;S-W;;
Sunday 3/12/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";5-10 G15-20;SW;"Snowmobile triggered, Marty's, Cooke;Snowmobile triggered avalanche Beartooth Pass;Collapse At Telemark Meadows;Rasta Chutes Avalanche";
Saturday 3/11/23;NA;"0.5/4"" Brackett
0.3/2"" Shower
0.8/6"" Lone";"0.7/5"" Carrot
0.7/5"" Madison
0.9/7"" Wt Elephant
1.0/7"" Fisher";20-30 G45-60;W-NW;"Very large natural on Fisher Mtn.;Natural avalanche on Town Hill, Cooke;Natural avalanche, Republic Creek;Snowmobile triggered slide, Crown Butte;Snowmchine remote trigger Large avalanche near Lake Abundance;Dudley Creek Avalanche ;Electric Peak Avalanches;Natural Avalanches Tepee Basin;Red Mountain Avalanche;Bacon Rind Road Cut Avalanche";105 mph gusts yesterday afternoon at Lone Mountain and Lionhead
Friday 3/10/23;NA;"0.0/0"" Alpine
0.2/2"" Shower
0.1/2"" Timber";"0.3/3"" Carrot
0.6/6"" Madison
0.6/6"" Wt Elephant
0.3/3"" Fisher";25-40 G35-55;S-SW;"3 large avalanches at Lionhead;Natural avalanches near Cooke;Several avalanches observed near Cooke;Natural avalanche at Frazier Basin;Natural avalanches near Silver Gate;Natural small deep slab on Sheep;Many Natural Avalanches Lionhead Area";
Thursday 3/9/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.1/2"" Timber";"0.2/2"" Carrot
0.2/3"" Madison
0.1/1"" Wt Elephant
0.1/1"" Fisher";5-10 G 20 (20-30 Bridgers);S-SW (E Bridgers);;
Wednesday 3/8/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Wt Elephant
0.0/0"" Fisher";5-15 G20 (25-35 Hyalite);SW;"Divide & Blackmore slides ;Skier triggered slide near Bacon Rind;Steep, rocky, N-facing avalanches: Cooke";
Tuesday 3/7/23;NA;"0.2/4"" Brackett
0.1/2"" Shower
0.1/2"" Timber";"0.2/4"" Carrot
0.2/4"" Madison
0.1/2"" Wt Elephant
0.1/2"" Fisher";5-15 G30;W-SW;"Sledder triggered + naturals in LH;Airplane bowl avalanche, North Bridger Range";
Monday 3/6/23;NA;"0.5/11"" Brackett
0.2/3"" Shower
0.1/2"" Lone";"0.3/5"" Carrot
0.2/3"" Madison
0.4/6"" Wt Elephant
0.3/5"" Fisher";5-20 G50;"E - SE - S
NE Cooke";"New Snow Avalanches, The Ramp;Collapse in Hayden Creek";
Sunday 3/5/23;NA;"0.1/1"" Brackett
0.1/1"" Shower
0.2/3"" Timber";"0.3/3"" Carrot
0.5/8"" Madison
0.5/6"" Sawtelle
0.3/3"" Fisher";"5-10 G15-20
25G44 Bridger";S-SE-E;"New snow avalanches North Bridgers;Natural Avalanche near Miller Mountain";
Saturday 3/4/23;NA;"0.1/3"" Brackett
0.3/6"" Shower
0.2/4"" Lobo";"0.0/0"" Carrot
0.1/1"" Madison
0.2/3"" Wt Elephant
0.2/2"" Fisher";10-15 G20-30;W-SW-S;"Skier triggered slide on Elephant N. Face  ;Large Skier Triggered Avalanche Hyalite Pk;Skier caught and injured on Lawn Mower;cornice fall in maid of the mist";
Friday 3/3/23;NA;"0.0/0"" Bridger
0.1/1"" Shower
0.2/4"" Timber";"0.3/3"" Carrot
0.3/3"" Madison
0.3/3"" Sawtelle
0.1/1"" Fisher";15-20 G35 (58 in Bridgers);SW-W;"Snowmobile triggered off HWY 212;Snowmobiler triggered slide Buck Ridge";
Thursday 3/2/23;NA;"0.1/1"" Brackett
0.1/1"" Shower
0.2/3"" Lookout";"0.1/1"" Carrot
0.1/1"" Madison
0.2/2"" Wt Elephant
0.2/2"" Fisher";10-20 G38 (30-50 in Bridgers);W-NW;"skier triggered large slide near Daisy;Skier Triggered Avalanche near Miller Mountain";
Wednesday 3/1/23;NA;"0.1/1"" Brackett
0.0/0"" Shower
0.1/1"" Bavaria";"0.1/1"" Carrot
0.2/3"" Madison
0.4/6"" Sawtelle
0.3/5"" Fisher";5-15 G60;SW-S;;Winds were 20-35 from the SW before dropping off late Tuesday night
Tuesday 2/28/23;NA;"0.1/1"" Brackett
0.0/0"" Shower
0.1/1"" Lone";"0.1/1"" Carrot
0.3/3"" Madison
0.4/4"" Sawtelle
0.2/2"" Fisher";10-25 G55;S-W;"Snowmobile triggered avalanche Cabin Creek;Whumpf at Quake Lake;Very Large avalanche on Henderson Mtn.;Natural avalanche on Miller Ridge";
Monday 2/27/23;NA;"0.2/3"" Bridger
0.2/2"" Shower
0.3/5"" Lone";"0.6/6"" Carrot
0.6/6"" Madison
0.8/6"" Wt Elephant
0.6/8"" Fisher";"15-25 
G35-55";SW-W;"Small natural avalanche Buck ridge;Natural Avalanche Sage Basin";@0600
Sunday 2/26/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.1/1"" Carrot
0.2/2"" Madison
0.1/1"" Wt Elephant
0.1/1"" Fisher";"20-35 G35-65
G82 Big Sky";S-SW;Two skiers caught on town hill, Cooke;
Saturday 2/25/23;NA;"0.0/0"" Bridger
0.0/0"" Shower
0.0/0"" Timber";"0.3/3"" Carrot
0.3/4"" Madison
0.3/5"" Sawtelle
0.4/4"" Fisher";20-30 G45-65;W-SW;"Natural avalanche hit Daisy Pass road;Natural Avalanche on E. Henderson Bench;Skier triggered wind slab, S. Gallatin ;Skier triggered and caught near Round Lake;Rider partially buried on Abundance;Natural avalanches in Sheep and Republic;Natural Avalanche b/w Cooke City and Silver Gate";
Friday 2/24/23;NA;"0.0/0"" Bridger
0.0/0"" Shower
0.0/0"" Timber";"0.3/3"" Carrot
0.3/3"" Madison
0.4/6"" Sawtelle
0.2/2"" Fisher";10-20 G35;SW-SE;"Whumpf on wind drift at Lulu Pass;Rider triggered wind slab Buck Ridge;Natural Cornice Collapse in Beehive ;Natural avalanche on Emigrant Peak;Large natural wind slab avalanche Mt. Blackmore;Natural avalanche on Fan Mountain;Recent wind slabs at Lionhead;Natural Avalanche, Mount Bole Basin;Natural avalanche witnessed - Pilot Creek;Natural Avalanche Overlook Mountain";
Thursday 2/23/23;NA;"0.0/0"" Bridger
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";10 G20 (Bridger 30-45 E);SW;Snowmobiler partially buried at Lionhead;Mountain temps at 4am are -28 to -10F.
Wednesday 2/22/23;NA;"0.5/5"" Bridger
0.5/5"" Shower
0.4/7"" Timber";"0.2/3"" Carrot
0.3/3"" Madison
0.2/3"" Wt Elephant
0.5/3"" Fisher";5-15 G25 (48 G70 Bridger);N-E;"YNP and Cooke instability;Two large naturals, Cooke;Natural wind slab in Lamar";Snowfall stopped yesterday afternoon and east wind kicked in with cold temps (-1 to -16F).
Tuesday 2/21/23;NA;"0.4/6"" Brackett
0.2/2"" Shower
0.4/4"" Lone";"0.2/2"" Carrot
0.4/4"" Madison
0.3/3"" Wt Elephant
1.5/17"" Fisher";20-35 G55;W-SW;"Natural Avalanche, Wall Mountain;Avalanche Cycle in Cooke City";AVALANCHE WARNING: Bridger Range, Cooke City
Monday 2/20/23;NA;"2.2/13"" Brackett
0.7/9"" Shower
0.4/7"" Great Bear";"0.5/5"" Carrot
0.5/5"" Madison
0.3/4"" Wt Elephant
0.8/12"" Fisher";15-25 G55;W-NW;"Climax Path, Natural Avalanche;Natural Avalanches, Bridger Range;Natural Avalanche, 2nd Yellowmule;Ski Cut Triggered Avalanche near Big Sky";AVALANCHE WARNING: BRIDGER RANGE/ COOKE CITY
Sunday 2/19/23;NA;"1.2/20"" Bridger
0.6/8"" Shower
0.4/10"" Great Bear";"0.4/5"" Carrot
0.1/2"" Madison
0.1/1"" Sawtelle
0.1/2"" Fisher";"5-15 G25-30
20G39 Bridgers";SW-NW;;
Saturday 2/18/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";"10-25
G30-45";SW-W;"Fairy lake wind slabs;Snowmobiler Carried, Mount Abundance";
Friday 2/17/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";"10-20 G20-30
G45 in Hyalite";SW-W;;
Thursday 2/16/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";10-15 G25 (30-40 Bridgers);W-N;"Snowmobile triggered slide on Crown Butte;Small skier triggered slide in Bradleys";
Wednesday 2/15/23;NA;"0.2/3"" Alpine
0.5/11"" Lick Creek
0.5/6"" Lookout";"0.4/8"" Carrot
0.1/1"" Black Bear
0.5/8"" Wt Elephant
0.1/1"" Fisher";10-20 G30;W-N;"Slide on north face of Blackmore;Storm slab in Buck;Snowmobiler triggered avalanche, Lionhead;Natural avalanche in Twin Falls Basin";
Tuesday 2/14/23;NA;"0.4/6"" Alpine
0.5/7"" Lick Creek
0.4/6"" Bavaria";"0.4/6"" Carrot
0.2/4"" Madison
0.4/6"" Sawtelle
0.3/4"" Fisher";5-15 G45;SW-NW;"Deep snow and whumpf in Lick Creek;Small nat. avalanches in Flanders;Skier triggered slide in Beehive;Small remote trigger on history rock;Small storm slabs on Sourdough Canyon road cuts";
Monday 2/13/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lobo";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";15-25 G40;W-S;;
Sunday 2/12/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";"5-15 G25
25G40 Bridger";SW-NW;;
Saturday 2/11/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";"10-20 G25-35
5 G15 in Cooke";S-W;Cornice crack triggered by skiers;
Friday 2/10/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";15-20 G25-35;S-NW;"Small natural wind slab near Cooke City;Small wind slab wheeler;Natural avalanche in Red Canyon";
Thursday 2/9/23;NA;"0.4/4"" Bridger
0.5/5"" Shower
0.5/7"" Lookout";"0.1/2"" Carrot
0.1/2"" Madison
0.2/3"" Sawtelle
0.2/3"" Fisher";"10-15 G 20 
G32 in Bridgers";W-N;"Small Snowmobile Triggered Slide in Tepee Creek;Very Small Wind Slab in Sheep Creek";
Wednesday 2/8/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.1/1"" Madison
0.1/1"" Wt Elephant
0.0/0"" Fisher";20-30 G50;W-SW;;
Tuesday 2/7/23;NA;"0.0/0"" Bridger
0.0/0"" Shower
0.0/0"" Lobo";"0.1/1"" Carrot
0.0/0"" Madison
0.1/1"" Wt Elephant
0.2/3"" Fisher";10-30 G50;W-SW;"Remotely triggered an avalanche, Mt. Jefferson;Avalanches on Bridger Canyon drive;Sledder triggered slide, Two Top";
Monday 2/6/23;NA;"0.2/4"" Bridger
0.3/6"" Shower
0.3/7"" Great Bear";"0.3/5"" Carrot
0.3/5"" Madison
0.3/5"" Sawtelle
0.3/6"" Fisher";10-20 G25-40;NW-W;"Small rider triggered slide, Cooke;Natural Avalanche on Sage Peak";SNOTEL not reporting: values are best guess for Shower, Carrot, Madison, Sawtelle and Fisher
Sunday 2/5/23;NA;"0.0/0"" Alpine
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";10-25 G20-50;SW;;SNOTEL server down, not reporting
Saturday 2/4/23;NA;"0.0/0"" Bridger
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";20-35 G45-60;SW-W;"Small whumphs and triggered wind slab;Avalanche on Hyalite Peak";
